,Country Name,Year,GDP (current US$),Military expenditure (% of GDP),GDP per capita (current US$),"Population, total","Current health expenditure per capita, PPP (current international $)",Current health expenditure (% of GDP),"Government expenditure on education, total (% of GDP)",Military expenditure (current US$),Education expenditure (current US$),Health expenditure (current US$),Military expenditure per capita,Education expenditure per capita,Health expenditure per capita
0,European Union,2011,15741839610904.562,1.5018477772149212,35716.27366288399,440746976,3297.408614059146,,5.01738,23641846828910.816,78982791226960.34,,53640.406211002155,179202.1171506809,
1,Argentina,2011,530163281574.65753,0.764287094036749,12848.86419697053,41261490,1648.18774414063,8.39656293392181,5.29063,405196953839.6817,2804897762397.3306,4451549358996.121,9820.221078775432,67978.5863864182,107886.29685927778
2,Australia,2011,1396649906339.3474,1.76938986414435,62517.83374715029,22340024,3770.48828125,8.54151993989944,5.07451,2471218188034.997,7087313916218.082,11929513024056.22,110618.4213604693,317247.3725282516,533997.3235506023
3,Brazil,2011,2616200980392.157,1.41185115924524,13245.612499544754,197514534,1166.13354492188,7.78830125927925,5.73741,3693686386985.2007,15010217666911.766,20375761390115.848,18700.8333623955,75995.50961101305,103160.82051012939
4,Canada,2011,1788647906047.7568,1.1960844580068801,52087.44638356804,34339328,4278.64697265625,10.3525035083294,5.27444,2139373961270.2722,9434116061574.531,18516983722525.438,62300.98507665241,274732.11070334667,539235.4714258077
5,China,2011,7551500425597.771,1.83415827484875,5618.132491349625,1344130000,438.563140869141,4.32551316916943,,13850646993134.01,,32664114537911.72,10304.544198205538,,24301.306077471465
6,France,2011,2861408170264.605,2.25766128424981,43790.732048201884,65342780,4218.0107421875,11.2030930817127,,6460090444442.487,,32056622076247.59,98864.64035418277,,490591.6472523451
7,Germany,2011,3744408602683.935,1.2811121962768899,46644.77602796796,80274983,4579.88671875,10.7205376029015,4.8078,4797007528742.496,18002367679983.824,40142073225700.984,59757.19146203365,224258.75418726433,500057.0753867489
8,India,2011,1823050405350.4167,2.65149668110065,1458.1035268617675,1250288729,150.496520996094,3.24634201824665,3.79618,4833812099265.824,6920627487783.1455,5918245132270.645,3866.156662175129,5535.2234466021055,4733.502746204988
9,Indonesia,2011,892969107923.0944,0.653776702606807,3643.0439361610156,245116206,261.194732666016,2.95542031526566,3.18944,583802398907.7026,2848071391574.234,2639099042460.567,2381.737252035072,11619.270051749389,10766.72605833564
